Từ vựng,Phát âm,Nghĩa,Chủ đề
United States,/juːˌnaɪtɪd ˈsteɪts/,Hoa Kỳ,Từ vựng về tên các nước
Canada,/ˈkænədə/,Canada,Từ vựng về tên các nước
Mexico,/ˈmɛksɪkoʊ/,Mexico,Từ vựng về tên các nước
Brazil,/brəˈzɪl/,Brazil,Từ vựng về tên các nước
France,/fræns/,Pháp,Từ vựng về tên các nước
Germany,/ˈdʒɜːrməni/,Đức,Từ vựng về tên các nước
Italy,/ˈɪtəli/,Ý,Từ vựng về tên các nước
Spain,/speɪn/,Tây Ban Nha,Từ vựng về tên các nước
United Kingdom,/juːˌnaɪtɪd ˈkɪŋdəm/,Vương quốc Anh,Từ vựng về tên các nước
Russia,/ˈrʌʃə/,Nga,Từ vựng về tên các nước
China,/ˈtʃaɪnə/,Trung Quốc,Từ vựng về tên các nước
Japan,/dʒəˈpæn/,Nhật Bản,Từ vựng về tên các nước
India,/ˈɪndiə/,Ấn Độ,Từ vựng về tên các nước
Australia,/ɔːˈstreɪliə/,Úc,Từ vựng về tên các nước
South Korea,/saʊθ kəˈriə/,Hàn Quốc,Từ vựng về tên các nước
Saudi Arabia,/ˌsɔːdi əˈreɪbiə/,Ả Rập Xê Út,Từ vựng về tên các nước
Egypt,/ˈiːdʒɪpt/,Ai Cập,Từ vựng về tên các nước
South Africa,/saʊθ ˈæfrɪkə/,Nam Phi,Từ vựng về tên các nước
Nigeria,/naɪˈdʒɪəriə/,Nigeria,Từ vựng về tên các nước
Argentina,/ˌɑːrʤənˈtiːnə/,Argentina,Từ vựng về tên các nước
Colleague,/ˈkɒliːɡ/,Đồng nghiệp,Từ vựng về đời sống công sở
Manager,/ˈmænɪdʒər/,Quản lý,Từ vựng về đời sống công sở
Meeting,/ˈmiːtɪŋ/,Cuộc họp,Từ vựng về đời sống công sở
Deadline,/ˈdɛd.laɪn/,Hạn chót,Từ vựng về đời sống công sở
Project,/ˈprɒdʒɛkt/,Dự án,Từ vựng về đời sống công sở
Presentation,/ˌprɛz.ənˈteɪ.ʃən/,Bài thuyết trình,Từ vựng về đời sống công sở
Teamwork,/ˈtiːm.wɜːk/,Làm việc nhóm,Từ vựng về đời sống công sở
Email,/ˈiːmeɪl/,Email,Từ vựng về đời sống công sở
Report,/rɪˈpɔːt/,Báo cáo,Từ vựng về đời sống công sở
Schedule,/ˈʃɛdjuːl/,Lịch trình,Từ vựng về đời sống công sở
Overtime,/ˈəʊ.və.taɪm/,Làm thêm giờ,Từ vựng về đời sống công sở
Promotion,/prəˈməʊ.ʃən/,Thăng chức,Từ vựng về đời sống công sở
Conference,/ˈkɒn.fər.əns/,Hội nghị,Từ vựng về đời sống công sở
Workload,/ˈwɜːk.loʊd/,Khối lượng công việc,Từ vựng về đời sống công sở
Oce,/ˈɒf.ɪs/,Văn phòng,Từ vựng về đời sống công sở
Desk,/dɛsk/,Bàn làm việc,Từ vựng về đời sống công sở
Meeting room,/ˈmiːtɪŋ ruːm/,Phòng họp,Từ vựng về đời sống công sở
Printer,/ˈprɪn.tər/,Máy in,Từ vựng về đời sống công sở
Deadline,/ˈdɛd.laɪn/,Hạn chót,Từ vựng về đời sống công sở
Business trip,/ˈbɪz.nəs trɪp/,Chuyến công tác,Từ vựng về đời sống công sở
